rec_time	UTC	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:04.461	1644613611953	707.449	653.094
00:00:04.469	1644613611961		
00:00:04.477	1644613611969	708.569	652.084
00:00:04.478	1644613611970		
00:00:04.485	1644613611977		
00:00:04.494	1644613611986	705.986	652.7
00:00:04.502	1644613611994		
00:00:04.511	1644613612003	707.395	654.757
00:00:04.512	1644613612004		
00:00:04.519	1644613612011		
00:00:04.527	1644613612019	706.112	656.419
00:00:04.535	1644613612027		
00:00:04.544	1644613612036	704.556	653.368
00:00:04.545	1644613612037		
00:00:04.552	1644613612044		
00:00:04.561	1644613612053	706.682	656.916
00:00:04.569	1644613612061		
00:00:04.577	1644613612069	709.055	656.699
00:00:04.578	1644613612070		
00:00:04.585	1644613612077		
00:00:04.594	1644613612086	708.14	657.173
00:00:04.602	1644613612094		
00:00:04.611	1644613612103	707.604	658.732
00:00:04.612	1644613612104		
00:00:04.619	1644613612111		
00:00:04.627	1644613612119	702.189	657.477
00:00:04.635	1644613612127		
00:00:04.644	1644613612136	706.83	659.921
00:00:04.645	1644613612137		
00:00:04.652	1644613612144		
00:00:04.661	1644613612153	702.742	658.012
00:00:04.669	1644613612161		
00:00:04.677	1644613612169	707.732	658.423
00:00:04.678	1644613612170		
00:00:04.685	1644613612177		
00:00:04.694	1644613612186	703.444	659.092
00:00:04.702	1644613612194		
00:00:04.711	1644613612203	708.5	662.631
00:00:04.712	1644613612204		
00:00:04.719	1644613612211		
00:00:04.727	1644613612219	703.547	657.13
00:00:04.735	1644613612227		
00:00:04.744	1644613612236	705.048	661.137
00:00:04.745	1644613612237		
00:00:04.752	1644613612244		
00:00:04.761	1644613612253	699.729	657.948
00:00:04.769	1644613612261		
00:00:04.777	1644613612269	707.276	659.942
00:00:04.778	1644613612270		
00:00:04.785	1644613612277		
00:00:04.794	1644613612286	702.032	658.94
00:00:04.802	1644613612294		
00:00:04.811	1644613612303	706.322	661.589
00:00:04.812	1644613612304		
00:00:04.819	1644613612311		
00:00:04.827	1644613612319	701.335	658.194
00:00:04.835	1644613612327		
00:00:04.844	1644613612336	704.691	660.538
00:00:04.845	1644613612337		
00:00:04.852	1644613612344		
00:00:04.861	1644613612353	700.17	658.685
00:00:04.869	1644613612361		
00:00:04.877	1644613612369	701.149	657.125
00:00:04.878	1644613612370		
00:00:04.885	1644613612377		
00:00:04.894	1644613612386	700.412	656.348
00:00:04.902	1644613612394		
00:00:04.911	1644613612403	704.954	658.249
00:00:04.912	1644613612404		
00:00:04.919	1644613612411		
00:00:04.927	1644613612419	700.882	655.993
00:00:04.935	1644613612427		
00:00:04.944	1644613612436	704.206	657.147
00:00:04.945	1644613612437		
00:00:04.952	1644613612444		
00:00:04.961	1644613612453	701.431	655.755
00:00:04.969	1644613612461		
00:00:04.977	1644613612469	697.715	653.245
00:00:04.978	1644613612470		
00:00:04.985	1644613612477		
00:00:04.994	1644613612486	698.331	654.43
00:00:05.002	1644613612494		
